PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
64 bytes from 10.0.0.2: icmp_req=136 ttl=64 time=142 ms
64 bytes from 10.0.0.2: icmp_req=137 ttl=64 time=140 ms
64 bytes from 10.0.0.2: icmp_req=138 ttl=64 time=145 ms
64 bytes from 10.0.0.2: icmp_req=139 ttl=64 time=142 ms
64 bytes from 10.0.0.2: icmp_req=140 ttl=64 time=139 ms
64 bytes from 10.0.0.2: icmp_req=142 ttl=64 time=157 ms
64 bytes from 10.0.0.2: icmp_req=145 ttl=64 time=156 ms
64 bytes from 10.0.0.2: icmp_req=146 ttl=64 time=154 ms
64 bytes from 10.0.0.2: icmp_req=147 ttl=64 time=136 ms
64 bytes from 10.0.0.2: icmp_req=148 ttl=64 time=68.4 ms
64 bytes from 10.0.0.2: icmp_req=149 ttl=64 time=90.0 ms
64 bytes from 10.0.0.2: icmp_req=150 ttl=64 time=95.9 ms
64 bytes from 10.0.0.2: icmp_req=151 ttl=64 time=93.7 ms
64 bytes from 10.0.0.2: icmp_req=152 ttl=64 time=99.6 ms
64 bytes from 10.0.0.2: icmp_req=153 ttl=64 time=97.5 ms
64 bytes from 10.0.0.2: icmp_req=154 ttl=64 time=95.3 ms
64 bytes from 10.0.0.2: icmp_req=155 ttl=64 time=117 ms
64 bytes from 10.0.0.2: icmp_req=156 ttl=64 time=108 ms
64 bytes from 10.0.0.2: icmp_req=157 ttl=64 time=129 ms
64 bytes from 10.0.0.2: icmp_req=158 ttl=64 time=126 ms
64 bytes from 10.0.0.2: icmp_req=159 ttl=64 time=132 ms
64 bytes from 10.0.0.2: icmp_req=160 ttl=64 time=129 ms
64 bytes from 10.0.0.2: icmp_req=161 ttl=64 time=126 ms
64 bytes from 10.0.0.2: icmp_req=162 ttl=64 time=131 ms
64 bytes from 10.0.0.2: icmp_req=163 ttl=64 time=144 ms
64 bytes from 10.0.0.2: icmp_req=164 ttl=64 time=142 ms
64 bytes from 10.0.0.2: icmp_req=166 ttl=64 time=139 ms
64 bytes from 10.0.0.2: icmp_req=167 ttl=64 time=138 ms
64 bytes from 10.0.0.2: icmp_req=168 ttl=64 time=87.2 ms
64 bytes from 10.0.0.2: icmp_req=169 ttl=64 time=84.7 ms
64 bytes from 10.0.0.2: icmp_req=170 ttl=64 time=81.7 ms
64 bytes from 10.0.0.2: icmp_req=171 ttl=64 time=94.9 ms
64 bytes from 10.0.0.2: icmp_req=172 ttl=64 time=100 ms
64 bytes from 10.0.0.2: icmp_req=173 ttl=64 time=97.7 ms
64 bytes from 10.0.0.2: icmp_req=174 ttl=64 time=103 ms
64 bytes from 10.0.0.2: icmp_req=175 ttl=64 time=97.7 ms
64 bytes from 10.0.0.2: icmp_req=176 ttl=64 time=119 ms
64 bytes from 10.0.0.2: icmp_req=177 ttl=64 time=110 ms
64 bytes from 10.0.0.2: icmp_req=178 ttl=64 time=107 ms
64 bytes from 10.0.0.2: icmp_req=179 ttl=64 time=128 ms
64 bytes from 10.0.0.2: icmp_req=180 ttl=64 time=125 ms
64 bytes from 10.0.0.2: icmp_req=181 ttl=64 time=131 ms
64 bytes from 10.0.0.2: icmp_req=182 ttl=64 time=128 ms
64 bytes from 10.0.0.2: icmp_req=183 ttl=64 time=125 ms
64 bytes from 10.0.0.2: icmp_req=184 ttl=64 time=130 ms
64 bytes from 10.0.0.2: icmp_req=185 ttl=64 time=143 ms
64 bytes from 10.0.0.2: icmp_req=186 ttl=64 time=140 ms
64 bytes from 10.0.0.2: icmp_req=187 ttl=64 time=146 ms
64 bytes from 10.0.0.2: icmp_req=188 ttl=64 time=143 ms
64 bytes from 10.0.0.2: icmp_req=189 ttl=64 time=140 ms
64 bytes from 10.0.0.2: icmp_req=191 ttl=64 time=158 ms
64 bytes from 10.0.0.2: icmp_req=192 ttl=64 time=146 ms
64 bytes from 10.0.0.2: icmp_req=194 ttl=64 time=139 ms
64 bytes from 10.0.0.2: icmp_req=195 ttl=64 time=82.9 ms
64 bytes from 10.0.0.2: icmp_req=196 ttl=64 time=95.8 ms
64 bytes from 10.0.0.2: icmp_req=197 ttl=64 time=101 ms
64 bytes from 10.0.0.2: icmp_req=198 ttl=64 time=97.7 ms
64 bytes from 10.0.0.2: icmp_req=199 ttl=64 time=103 ms
64 bytes from 10.0.0.2: icmp_req=200 ttl=64 time=97.7 ms
64 bytes from 10.0.0.2: icmp_req=201 ttl=64 time=119 ms
64 bytes from 10.0.0.2: icmp_req=202 ttl=64 time=108 ms
64 bytes from 10.0.0.2: icmp_req=203 ttl=64 time=129 ms
64 bytes from 10.0.0.2: icmp_req=204 ttl=64 time=126 ms
64 bytes from 10.0.0.2: icmp_req=205 ttl=64 time=124 ms
64 bytes from 10.0.0.2: icmp_req=206 ttl=64 time=129 ms
64 bytes from 10.0.0.2: icmp_req=207 ttl=64 time=126 ms
64 bytes from 10.0.0.2: icmp_req=208 ttl=64 time=123 ms
64 bytes from 10.0.0.2: icmp_req=209 ttl=64 time=144 ms
64 bytes from 10.0.0.2: icmp_req=210 ttl=64 time=141 ms
64 bytes from 10.0.0.2: icmp_req=211 ttl=64 time=139 ms
64 bytes from 10.0.0.2: icmp_req=212 ttl=64 time=144 ms
64 bytes from 10.0.0.2: icmp_req=213 ttl=64 time=141 ms
64 bytes from 10.0.0.2: icmp_req=214 ttl=64 time=138 ms
64 bytes from 10.0.0.2: icmp_req=215 ttl=64 time=151 ms
64 bytes from 10.0.0.2: icmp_req=216 ttl=64 time=140 ms
64 bytes from 10.0.0.2: icmp_req=217 ttl=64 time=97.2 ms
64 bytes from 10.0.0.2: icmp_req=218 ttl=64 time=89.9 ms
64 bytes from 10.0.0.2: icmp_req=219 ttl=64 time=95.2 ms
64 bytes from 10.0.0.2: icmp_req=220 ttl=64 time=93.0 ms
64 bytes from 10.0.0.2: icmp_req=221 ttl=64 time=98.9 ms
64 bytes from 10.0.0.2: icmp_req=222 ttl=64 time=96.7 ms
64 bytes from 10.0.0.2: icmp_req=223 ttl=64 time=102 ms
64 bytes from 10.0.0.2: icmp_req=224 ttl=64 time=97.7 ms
64 bytes from 10.0.0.2: icmp_req=225 ttl=64 time=119 ms
64 bytes from 10.0.0.2: icmp_req=226 ttl=64 time=108 ms
64 bytes from 10.0.0.2: icmp_req=227 ttl=64 time=117 ms
64 bytes from 10.0.0.2: icmp_req=228 ttl=64 time=127 ms
64 bytes from 10.0.0.2: icmp_req=229 ttl=64 time=125 ms
64 bytes from 10.0.0.2: icmp_req=230 ttl=64 time=130 ms
64 bytes from 10.0.0.2: icmp_req=231 ttl=64 time=127 ms
64 bytes from 10.0.0.2: icmp_req=232 ttl=64 time=124 ms
64 bytes from 10.0.0.2: icmp_req=233 ttl=64 time=145 ms
64 bytes from 10.0.0.2: icmp_req=234 ttl=64 time=142 ms
64 bytes from 10.0.0.2: icmp_req=235 ttl=64 time=140 ms
64 bytes from 10.0.0.2: icmp_req=236 ttl=64 time=146 ms
64 bytes from 10.0.0.2: icmp_req=237 ttl=64 time=143 ms
64 bytes from 10.0.0.2: icmp_req=238 ttl=64 time=140 ms
64 bytes from 10.0.0.2: icmp_req=239 ttl=64 time=153 ms
64 bytes from 10.0.0.2: icmp_req=240 ttl=64 time=142 ms
64 bytes from 10.0.0.2: icmp_req=241 ttl=64 time=58.3 ms
64 bytes from 10.0.0.2: icmp_req=242 ttl=64 time=88.1 ms
64 bytes from 10.0.0.2: icmp_req=243 ttl=64 time=93.8 ms
64 bytes from 10.0.0.2: icmp_req=244 ttl=64 time=91.6 ms
64 bytes from 10.0.0.2: icmp_req=245 ttl=64 time=97.5 ms
64 bytes from 10.0.0.2: icmp_req=246 ttl=64 time=96.3 ms
64 bytes from 10.0.0.2: icmp_req=247 ttl=64 time=102 ms
64 bytes from 10.0.0.2: icmp_req=248 ttl=64 time=97.7 ms
64 bytes from 10.0.0.2: icmp_req=249 ttl=64 time=103 ms
64 bytes from 10.0.0.2: icmp_req=250 ttl=64 time=113 ms
64 bytes from 10.0.0.2: icmp_req=251 ttl=64 time=127 ms
64 bytes from 10.0.0.2: icmp_req=252 ttl=64 time=124 ms
64 bytes from 10.0.0.2: icmp_req=253 ttl=64 time=122 ms
64 bytes from 10.0.0.2: icmp_req=254 ttl=64 time=127 ms
64 bytes from 10.0.0.2: icmp_req=255 ttl=64 time=124 ms
64 bytes from 10.0.0.2: icmp_req=256 ttl=64 time=122 ms
64 bytes from 10.0.0.2: icmp_req=257 ttl=64 time=143 ms
64 bytes from 10.0.0.2: icmp_req=258 ttl=64 time=140 ms
64 bytes from 10.0.0.2: icmp_req=259 ttl=64 time=138 ms
64 bytes from 10.0.0.2: icmp_req=260 ttl=64 time=143 ms
64 bytes from 10.0.0.2: icmp_req=261 ttl=64 time=140 ms
64 bytes from 10.0.0.2: icmp_req=262 ttl=64 time=153 ms
64 bytes from 10.0.0.2: icmp_req=263 ttl=64 time=150 ms
64 bytes from 10.0.0.2: icmp_req=264 ttl=64 time=139 ms
64 bytes from 10.0.0.2: icmp_req=265 ttl=64 time=55.3 ms
64 bytes from 10.0.0.2: icmp_req=266 ttl=64 time=86.1 ms
64 bytes from 10.0.0.2: icmp_req=267 ttl=64 time=91.7 ms
64 bytes from 10.0.0.2: icmp_req=268 ttl=64 time=89.6 ms
64 bytes from 10.0.0.2: icmp_req=269 ttl=64 time=95.2 ms
64 bytes from 10.0.0.2: icmp_req=270 ttl=64 time=95.9 ms
64 bytes from 10.0.0.2: icmp_req=271 ttl=64 time=102 ms
64 bytes from 10.0.0.2: icmp_req=272 ttl=64 time=97.8 ms
64 bytes from 10.0.0.2: icmp_req=273 ttl=64 time=119 ms
